W 48 48 50
T 0 5 2 3
T 0 6 2 4
T 0 15 2 3
T 0 16 2 4
T 0 25 2 3
T 0 26 2 4
T 0 35 4 3
T 0 36 4 4
T 1 5 2 3
T 1 6 2 4
T 1 15 2 3
T 1 16 2 4
T 1 25 2 3
T 1 26 2 4
T 1 35 4 3
T 1 36 4 4
T 2 5 2 3
T 2 6 2 4
T 2 15 2 3
T 2 16 2 4
T 2 25 2 3
T 2 26 2 4
T 2 35 4 3
T 2 36 4 4
T 3 5 2 3
T 3 6 2 4
T 3 15 2 3
T 3 16 2 4
T 3 25 2 3
T 3 26 2 4
T 3 35 4 3
T 3 36 4 4
T 4 5 2 3
T 4 6 2 4
T 4 15 2 3
T 4 16 2 4
T 4 25 2 3
T 4 26 2 4
T 4 35 4 3
T 4 36 4 4
T 5 0 2 2
T 5 1 2 2
T 5 2 2 2
T 5 3 2 2
T 5 4 2 2
T 5 5 5 0
T 5 6 5 0
T 5 7 2 2
T 5 8 2 2
T 5 9 2 2
T 5 10 2 2
T 5 11 2 2
T 5 12 2 2
T 5 13 2 2
T 5 14 2 2
T 5 15 5 0
T 5 16 5 0
T 5 17 2 2
T 5 18 2 2
T 5 19 2 2
T 5 20 2 2
T 5 21 2 2
T 5 22 2 2
T 5 23 2 2
T 5 24 2 2
T 5 25 5 0
T 5 26 5 0
T 5 27 2 2
T 5 28 2 2
T 5 29 2 2
T 5 30 2 2
T 5 31 2 2
T 5 32 2 2
T 5 33 2 2
T 5 34 2 2
T 5 35 5 0
T 5 36 5 0
T 5 37 2 2
T 5 38 2 2
T 5 39 2 2
T 5 40 2 2
T 5 41 2 2
T 5 42 2 2
T 5 43 2 2
T 5 44 2 2
T 5 45 2 2
T 5 46 2 2
T 5 47 2 2
T 6 0 2 1
T 6 1 2 1
T 6 2 2 1
T 6 3 2 1
T 6 4 2 1
T 6 5 5 0
T 6 6 5 0
T 6 7 2 1
T 6 8 2 1
T 6 9 2 1
T 6 10 2 1
T 6 11 2 1
T 6 12 2 1
T 6 13 2 1
T 6 14 2 1
T 6 15 5 0
T 6 16 5 0
T 6 17 2 1
T 6 18 2 1
T 6 19 2 1
T 6 20 2 1
T 6 21 2 1
T 6 22 2 1
T 6 23 2 1
T 6 24 2 1
T 6 25 5 0
T 6 26 5 0
T 6 27 2 1
T 6 28 2 1
T 6 29 2 1
T 6 30 2 1
T 6 31 2 1
T 6 32 2 1
T 6 33 2 1
T 6 34 2 1
T 6 35 5 0
T 6 36 5 0
T 6 37 2 1
T 6 38 2 1
T 6 39 2 1
T 6 40 2 1
T 6 41 2 1
T 6 42 2 1
T 6 43 2 1
T 6 44 2 1
T 6 45 2 1
T 6 46 2 1
T 6 47 2 1
T 7 5 2 3
T 7 6 2 4
T 7 15 2 3
T 7 16 2 4
T 7 25 2 3
T 7 26 2 4
T 7 35 4 3
T 7 36 4 4
T 8 5 2 3
T 8 6 2 4
T 8 15 2 3
T 8 16 2 4
T 8 25 2 3
T 8 26 2 4
T 8 35 4 3
T 8 36 4 4
T 9 5 2 3
T 9 6 2 4
T 9 15 2 3
T 9 16 2 4
T 9 25 2 3
T 9 26 2 4
T 9 35 4 3
T 9 36 4 4
T 10 5 2 3
T 10 6 2 4
T 10 15 2 3
T 10 16 2 4
T 10 25 2 3
T 10 26 2 4
T 10 35 4 3
T 10 36 4 4
T 11 5 2 3
T 11 6 2 4
T 11 15 2 3
T 11 16 2 4
T 11 25 2 3
T 11 26 2 4
T 11 35 4 3
T 11 36 4 4
T 12 5 2 3
T 12 6 2 4
T 12 15 2 3
T 12 16 2 4
T 12 25 2 3
T 12 26 2 4
T 12 35 4 3
T 12 36 4 4
T 13 5 2 3
T 13 6 2 4
T 13 15 2 3
T 13 16 2 4
T 13 25 2 3
T 13 26 2 4
T 13 35 4 3
T 13 36 4 4
T 14 5 2 3
T 14 6 2 4
T 14 15 2 3
T 14 16 2 4
T 14 25 2 3
T 14 26 2 4
T 14 35 4 3
T 14 36 4 4
T 15 0 2 2
T 15 1 2 2
T 15 2 2 2
T 15 3 2 2
T 15 4 2 2
T 15 5 5 0
T 15 6 5 0
T 15 7 2 2
T 15 8 2 2
T 15 9 2 2
T 15 10 2 2
T 15 11 2 2
T 15 12 2 2
T 15 13 2 2
T 15 14 2 2
T 15 15 5 0
T 15 16 5 0
T 15 17 2 2
T 15 18 2 2
T 15 19 2 2
T 15 20 2 2
T 15 21 2 2
T 15 22 2 2
T 15 23 2 2
T 15 24 2 2
T 15 25 5 0
T 15 26 5 0
T 15 27 2 2
T 15 28 2 2
T 15 29 2 2
T 15 30 2 2
T 15 31 2 2
T 15 32 2 2
T 15 33 2 2
T 15 34 2 2
T 15 35 5 0
T 15 36 5 0
T 15 37 2 2
T 15 38 2 2
T 15 39 2 2
T 15 40 2 2
T 15 41 2 2
T 15 42 2 2
T 15 43 2 2
T 15 44 2 2
T 15 45 2 2
T 15 46 2 2
T 15 47 2 2
T 16 0 2 1
T 16 1 2 1
T 16 2 2 1
T 16 3 2 1
T 16 4 2 1
T 16 5 5 0
T 16 6 5 0
T 16 7 2 1
T 16 8 2 1
T 16 9 2 1
T 16 10 2 1
T 16 11 2 1
T 16 12 2 1
T 16 13 2 1
T 16 14 2 1
T 16 15 5 0
T 16 16 5 0
T 16 17 2 1
T 16 18 2 1
T 16 19 2 1
T 16 20 2 1
T 16 21 2 1
T 16 22 2 1
T 16 23 2 1
T 16 24 2 1
T 16 25 5 0
T 16 26 5 0
T 16 27 2 1
T 16 28 2 1
T 16 29 2 1
T 16 30 2 1
T 16 31 2 1
T 16 32 2 1
T 16 33 2 1
T 16 34 2 1
T 16 35 5 0
T 16 36 5 0
T 16 37 2 1
T 16 38 2 1
T 16 39 2 1
T 16 40 2 1
T 16 41 2 1
T 16 42 2 1
T 16 43 2 1
T 16 44 2 1
T 16 45 2 1
T 16 46 2 1
T 16 47 2 1
T 17 5 2 3
T 17 6 2 4
T 17 15 2 3
T 17 16 2 4
T 17 25 2 3
T 17 26 2 4
T 17 35 4 3
T 17 36 4 4
T 18 5 2 3
T 18 6 2 4
T 18 15 2 3
T 18 16 2 4
T 18 25 2 3
T 18 26 2 4
T 18 35 4 3
T 18 36 4 4
T 19 5 2 3
T 19 6 2 4
T 19 15 2 3
T 19 16 2 4
T 19 25 2 3
T 19 26 2 4
T 19 35 4 3
T 19 36 4 4
T 20 5 2 3
T 20 6 2 4
T 20 15 2 3
T 20 16 2 4
T 20 25 2 3
T 20 26 2 4
T 20 35 4 3
T 20 36 4 4
T 21 5 2 3
T 21 6 2 4
T 21 15 2 3
T 21 16 2 4
T 21 25 2 3
T 21 26 2 4
T 21 35 4 3
T 21 36 4 4
T 22 5 2 3
T 22 6 2 4
T 22 15 2 3
T 22 16 2 4
T 22 25 2 3
T 22 26 2 4
T 22 35 4 3
T 22 36 4 4
T 23 5 2 3
T 23 6 2 4
T 23 15 2 3
T 23 16 2 4
T 23 25 2 3
T 23 26 2 4
T 23 35 4 3
T 23 36 4 4
T 24 5 2 3
T 24 6 2 4
T 24 15 2 3
T 24 16 2 4
T 24 25 2 3
T 24 26 2 4
T 24 35 4 3
T 24 36 4 4
T 25 0 2 2
T 25 1 2 2
T 25 2 2 2
T 25 3 2 2
T 25 4 2 2
T 25 5 5 0
T 25 6 5 0
T 25 7 2 2
T 25 8 2 2
T 25 9 2 2
T 25 10 2 2
T 25 11 2 2
T 25 12 2 2
T 25 13 2 2
T 25 14 2 2
T 25 15 5 0
T 25 16 5 0
T 25 17 2 2
T 25 18 2 2
T 25 19 2 2
T 25 20 2 2
T 25 21 2 2
T 25 22 2 2
T 25 23 2 2
T 25 24 2 2
T 25 25 5 0
T 25 26 5 0
T 25 27 2 2
T 25 28 2 2
T 25 29 2 2
T 25 30 2 2
T 25 31 2 2
T 25 32 2 2
T 25 33 2 2
T 25 34 2 2
T 25 35 5 0
T 25 36 5 0
T 25 37 2 2
T 25 38 2 2
T 25 39 2 2
T 25 40 2 2
T 25 41 2 2
T 25 42 2 2
T 25 43 2 2
T 25 44 2 2
T 25 45 2 2
T 25 46 2 2
T 25 47 2 2
T 26 0 2 1
T 26 1 2 1
T 26 2 2 1
T 26 3 2 1
T 26 4 2 1
T 26 5 5 0
T 26 6 5 0
T 26 7 2 1
T 26 8 2 1
T 26 9 2 1
T 26 10 2 1
T 26 11 2 1
T 26 12 2 1
T 26 13 2 1
T 26 14 2 1
T 26 15 5 0
T 26 16 5 0
T 26 17 2 1
T 26 18 2 1
T 26 19 2 1
T 26 20 2 1
T 26 21 2 1
T 26 22 2 1
T 26 23 2 1
T 26 24 2 1
T 26 25 5 0
T 26 26 5 0
T 26 27 2 1
T 26 28 2 1
T 26 29 2 1
T 26 30 2 1
T 26 31 2 1
T 26 32 2 1
T 26 33 2 1
T 26 34 2 1
T 26 35 5 0
T 26 36 5 0
T 26 37 2 1
T 26 38 2 1
T 26 39 2 1
T 26 40 2 1
T 26 41 2 1
T 26 42 2 1
T 26 43 2 1
T 26 44 2 1
T 26 45 2 1
T 26 46 2 1
T 26 47 2 1
T 27 5 2 3
T 27 6 2 4
T 27 15 2 3
T 27 16 2 4
T 27 25 2 3
T 27 26 2 4
T 27 35 4 3
T 27 36 4 4
T 28 5 2 3
T 28 6 2 4
T 28 15 2 3
T 28 16 2 4
T 28 25 2 3
T 28 26 2 4
T 28 35 4 3
T 28 36 4 4
T 29 5 2 3
T 29 6 2 4
T 29 15 2 3
T 29 16 2 4
T 29 25 2 3
T 29 26 2 4
T 29 35 4 3
T 29 36 4 4
T 30 5 2 3
T 30 6 2 4
T 30 15 2 3
T 30 16 2 4
T 30 25 2 3
T 30 26 2 4
T 30 35 4 3
T 30 36 4 4
T 31 5 2 3
T 31 6 2 4
T 31 15 2 3
T 31 16 2 4
T 31 25 2 3
T 31 26 2 4
T 31 35 4 3
T 31 36 4 4
T 32 5 2 3
T 32 6 2 4
T 32 15 2 3
T 32 16 2 4
T 32 25 2 3
T 32 26 2 4
T 32 35 4 3
T 32 36 4 4
T 33 5 2 3
T 33 6 2 4
T 33 15 2 3
T 33 16 2 4
T 33 25 2 3
T 33 26 2 4
T 33 35 4 3
T 33 36 4 4
T 34 5 2 3
T 34 6 2 4
T 34 15 2 3
T 34 16 2 4
T 34 25 2 3
T 34 26 2 4
T 34 35 4 3
T 34 36 4 4
